text,conversation_id,created_at,retweet_count,reply_count,like_count,quote_count,is_reply_to_user,related_user_id,,,
"It's ok babes, mommy is here 

#Bitcoin $btc https://t.co/t1bqeuaioX",1522294183171485696,2022-05-05T19:16:30.000Z,5,43,190,0,0,935742315389444096
The entire feed after the #bitcoin bull trap https://t.co/Q73wUxTe8W,1522239226791686144,2022-05-05T15:38:08.000Z,13,46,141,1,0,935742315389444096
"This is dumbest thing I have seen all year 

We have 4832095 other types of ETFs, which I think could carry more risk but we can't have a #BITCOIN Spot ETF without more ""comprehensive surveillance""

This means public servants want to waste more taxpayer time and $ for ""ReSeArCh"" https://t.co/IFwBgxnUY0",1521878567881220098,2022-05-04T15:45:00.000Z,13,24,53,0,0,935742315389444096
"Join me and the @EdgeWallet team for a FREE event celebrating #BITCOIN pizza day in Venice Beach, California! 

5/22/2022 from 12-2PM 

#BitcoinPizzaBomb

Details:
https://t.co/bat2wNIQ4J",1521545875084005376,2022-05-03T17:43:00.000Z,9,38,44,2,0,935742315389444096
"This is pretty neat!!!! 

Being able to spend #bitcoin for everyday things! 

This was the intended purpose and I love seeing folks win! https://t.co/aq66lErIGd",1521489540371947521,2022-05-03T13:59:08.000Z,12,41,90,2,0,935742315389444096
"#Bitcoin closed above $37,000 so there is that",1520926179170996225,2022-05-02T00:40:33.000Z,19,69,274,1,0,935742315389444096
"Happy birthday to my oldest 

I’m so proud of you ✨

PS he is class of #bitcoin 2011 https://t.co/2h6HNP5jtQ",1520828227031207936,2022-05-01T18:11:19.000Z,3,12,406,2,0,935742315389444096
"Where in the heeehaaa is #Bitcoin going next week?

Join me as we cover your altcoin requests xo 

https://t.co/gKnmv0LupE",1520809019795021824,2022-05-01T16:55:00.000Z,7,40,40,0,0,935742315389444096
"LIVE WITH LEGENDS TO DISCUSS $APE $BTC + MORE

@TomCrownCrypto 
@Fityeth 
@missteencrypto 

Join and share xo 
https://t.co/2A9TdvTqDY",1520084244034310145,2022-04-29T16:55:00.000Z,8,21,26,0,0,935742315389444096
"THANK YOU  @zurihall for having me on the #hothappymess show speaking on #crypto, #bitcoin, #nfts, and blockchain! 

It was an honor!!!

Listen and support xo 
https://t.co/Kw5uR7Okyk",1519808678270017538,2022-04-28T22:40:00.000Z,7,39,67,0,0,935742315389444096
"RT @DcentralCon: We are excited to have @CryptoWendyO from @The_O_Show_ join us as a speaker!

The O Show is a daily YouTube show focusing…",1519778487262842881,2022-04-28T20:40:02.000Z,2,0,0,0,0,935742315389444096
"RT @JesseOlson: Reminder set. 

My guys @Kellykellam &amp; @CryptoVet_ always putting in the extra work to help the community out for FREE! 
Pl…",1519733068877074432,2022-04-28T17:39:33.000Z,5,0,0,0,0,935742315389444096
"RT @CryptoWendyO: ""Shiba Inu Launches Burn Portal To Reward $Shib Holders; plus our weekly $BTC and $ETH analysis""

s/o @Goldsby2RR 

Subsc…",1519577192522338304,2022-04-28T07:20:09.000Z,22,0,0,0,0,935742315389444096
"RT @AarikaRhodes: Don’t forget to tune into tomorrow’s Financial Services committee hearing at 10:00 AM &amp; 2:00 PM ET 

They will be coverin…",1519398674358366208,2022-04-27T19:30:47.000Z,30,0,0,0,0,935742315389444096
"BREAKING NEWS 

You can still love Bitcoin and other blockchains at the same time!!!

Tech is neat, and so is competition",1519367269674934272,2022-04-27T17:26:00.000Z,73,113,887,4,0,935742315389444096
"RT @CryptoPlug3: Women are changing the face &amp; future of Crypto! 💎Check out Crypto Wendy O; popular YouTube host of ""The O Show""! #Bitcoin…",1519339835265191937,2022-04-27T15:36:59.000Z,7,0,0,0,0,935742315389444096
Moon Maxis when #BITCOIN dumps https://t.co/KUOFpsmorO,1519063487275708416,2022-04-26T21:18:52.000Z,4,25,93,0,0,935742315389444096
"We are live covering #bitcoin and taking altcoin requests 

👇👇👇👇
https://t.co/VYggzAEMo7",1518272304966418432,2022-04-24T16:55:00.000Z,6,48,44,2,0,935742315389444096
"$CORZ | @Core_Scientific 

April Update

Core Scientific’s self-mining operations produced 1,121 Bitcoin in April, avg of 37.4 BTC per day, an increase from March’s daily average of 36.9. As of April 30, the Company held 9,618 #Bitcoin produced. https://t.co/chmPVIv4eV",1523883778351022081,2022-05-10T04:32:59.000Z,10,4,35,0,0,431243238
China signaling us #Bitcoin https://t.co/uc0sv5TYxt,1523820391269081089,2022-05-10T00:21:07.000Z,3,2,24,0,0,431243238
"These are the levels I am watching on $PYR. It's all dependent on Bitcoin, but I will be accumulating a small handful of my favorite altcoins over the next month or so. @VulcanForged is one of them as far as the #Metaverse goes. Trade with caution!🩸 https://t.co/HNJx1EhL66",1523757167475453952,2022-05-09T20:09:53.000Z,5,3,34,2,0,431243238
"If you have been around long enough:
- We have seen worse

If you have not been around long:
- We will see better days

𝙕𝙤𝙤𝙢 𝙤𝙪𝙩. #BTC https://t.co/1R5QNOUaZg",1523738225805717504,2022-05-09T18:54:37.000Z,46,28,225,2,0,431243238
"#Bitcoin 

Dumpity dump dump 🤡 https://t.co/QOuaAOQLCa https://t.co/KcpuqxpeMl",1523698250049458178,2022-05-09T16:15:46.000Z,1,1,15,1,0,431243238
"#Bitcoin

Presented without commentary https://t.co/yqQHS8AnDU",1523294200757895168,2022-05-08T13:30:13.000Z,4,12,46,1,0,431243238
"This retrace/bear market/institutional manipulation/whatever you want to call it is presenting great entries. While $BTC and subsequent alts can drop further, it’s time to reassess the watch list. My eyes are on:

$PYR
$SYS
$ZRX
$UTK
$EGLD
$ATOM

Some low caps #DeFi gems as well. https://t.co/jGyTyEJSyD",1522521666882002944,2022-05-06T10:20:27.000Z,6,9,39,1,0,431243238
"RT @mikealfred: We are getting near capitulation on the #Bitcoin miners. Look at Core Scientific at $5.68, for example. There is real fear…",1521916936766078976,2022-05-04T18:17:28.000Z,43,0,0,0,0,431243238
